a1 b1 226
a51 b53 162.5
a51 b54 150
a51 b55 150
a51 b59 162.5
a51 b60 166.66666666666669
a51 b61 150
a51 b62 150
a51 b66 166.66666666666669
a51 b71 162.5
a51 b73 162.5
a51 b74 162.5
a51 b75 150
a51 b77 162.5
a51 b78 166.66666666666669
a51 b80 166.66666666666669
a51 b82 150
a51 b85 166.66666666666669
a51 b86 162.5
a51 b88 162.5
a51 b90 162.5
a51 b93 162.5
a51 b94 166.66666666666669
a51 b95 166.66666666666669
a51 b96 166.66666666666669
a51 b99 166.66666666666669
a52 b19 166.66666666666669
a52 b27 166.66666666666669
a52 b31 166.66666666666669
a52 b32 150
a52 b36 150
a52 b39 166.66666666666669
a52 b41 150
a52 b42 150
a52 b45 166.66666666666669
a52 b46 166.66666666666669
a52 b47 175.0
a52 b48 175.0
a52 b54 166.66666666666669
a52 b55 166.66666666666669
a52 b56 175.0
a52 b58 175.0
a52 b60 150
a52 b61 166.66666666666669
a52 b62 166.66666666666669
a52 b66 150
a52 b70 175.0
a52 b75 166.66666666666669
a52 b78 150
a52 b80 150
a52 b81 175.0
a52 b82 166.66666666666669
a52 b83 175.0
a52 b85 150
a52 b94 150
a52 b95 150
a52 b96 150
a52 b99 150
a53 b16 150
a53 b19 162.5
a53 b20 160.0
a53 b24 160.0
a53 b25 160.0
a53 b27 162.5
a53 b28 150
a53 b30 160.0
a53 b31 162.5
a53 b33 150
a53 b34 160.0
a53 b35 160.0
a53 b37 150
a53 b39 162.5
a53 b40 150
a53 b43 150
a53 b44 150
a53 b45 162.5
a53 b46 162.5
a53 b50 160.0
a53 b51 150
a53 b53 150
a53 b54 162.5
a53 b55 162.5
a53 b57 160.0
a53 b59 150
a53 b61 162.5
a53 b62 162.5
a53 b64 160.0
a53 b65 160.0
a53 b67 160.0
a53 b69 160.0
a53 b71 150
a53 b72 160.0
a53 b73 150
a53 b74 150
a53 b75 162.5
a53 b76 160.0
a53 b77 150
a53 b82 162.5
a53 b84 160.0
a53 b86 150
a53 b88 150
a53 b90 150
a53 b92 160.0
a53 b93 150
a53 b97 160.0
a53 b98 160.0
a54 b0 150
a54 b2 150
a54 b4 157.14285714285714
a54 b6 156.25
a54 b8 150
a54 b10 156.25
a54 b11 150
a54 b13 157.14285714285714
a54 b17 156.25
a54 b18 150
a54 b21 156.25
a54 b22 150
a54 b23 157.14285714285714
a54 b26 157.14285714285714
a54 b63 156.25
a54 b68 156.25
a54 b79 156.25
a54 b87 157.14285714285714
a54 b89 156.25
a54 b91 156.25
a55 b19 166.66666666666669
a55 b27 166.66666666666669
a55 b31 166.66666666666669
a55 b32 150
a55 b36 150
a55 b39 166.66666666666669
a55 b41 150
a55 b42 150
a55 b45 166.66666666666669
a55 b46 166.66666666666669
a55 b47 175.0
a55 b48 175.0
a55 b54 166.66666666666669
a55 b55 166.66666666666669
a55 b56 175.0
a55 b58 175.0
a55 b60 150
a55 b61 166.66666666666669
a55 b62 166.66666666666669
a55 b66 150
a55 b70 175.0
a55 b75 166.66666666666669
a55 b78 150
a55 b80 150
a55 b81 175.0
a55 b82 166.66666666666669
a55 b83 175.0
a55 b85 150
a55 b94 150
a55 b95 150
a55 b96 150
a55 b99 150
a56 b4 158.33333333333331
a56 b13 158.33333333333331
a56 b16 160.0
a56 b20 150
a56 b23 158.33333333333331
a56 b24 150
a56 b25 150
a56 b26 158.33333333333331
a56 b28 160.0
a56 b30 150
a56 b33 160.0
a56 b34 150
a56 b35 150
a56 b37 160.0
a56 b40 160.0
a56 b43 160.0
a56 b44 160.0
a56 b50 150
a56 b51 160.0
a56 b53 160.0
a56 b57 150
a56 b59 160.0
a56 b64 150
a56 b65 150
a56 b67 150
a56 b69 150
a56 b71 160.0
a56 b72 150
a56 b73 160.0
a56 b74 160.0
a56 b76 150
a56 b77 160.0
a56 b84 150
a56 b86 160.0
a56 b87 158.33333333333331
a56 b88 160.0
a56 b90 160.0
a56 b92 150
a56 b93 160.0
a56 b97 150
a56 b98 150
a57 b32 175.0
a57 b36 175.0
a57 b41 175.0
a57 b42 175.0
a57 b47 150
a57 b48 150
a57 b56 150
a57 b58 150
a57 b60 175.0
a57 b66 175.0
a57 b70 150
a57 b78 175.0
a57 b80 175.0
a57 b81 150
a57 b83 150
a57 b85 175.0
a57 b94 175.0
a57 b95 175.0
a57 b96 175.0
a57 b99 175.0
a58 b16 162.5
a58 b19 150
a58 b27 150
a58 b28 162.5
a58 b31 150
a58 b32 166.66666666666669
a58 b33 162.5
a58 b36 166.66666666666669
a58 b37 162.5
a58 b39 150
a58 b40 162.5
a58 b41 166.66666666666669
a58 b42 166.66666666666669
a58 b43 162.5
a58 b44 162.5
a58 b45 150
a58 b46 150
a58 b51 162.5
a58 b53 162.5
a58 b54 150
a58 b55 150
a58 b59 162.5
a58 b60 166.66666666666669
a58 b61 150
a58 b62 150
a58 b66 166.66666666666669
a58 b71 162.5
a58 b73 162.5
a58 b74 162.5
a58 b75 150
a58 b77 162.5
a58 b78 166.66666666666669
a58 b80 166.66666666666669
a58 b82 150
a58 b85 166.66666666666669
a58 b86 162.5
a58 b88 162.5
a58 b90 162.5
a58 b93 162.5
a58 b94 166.66666666666669
a58 b95 166.66666666666669
a58 b96 166.66666666666669
a58 b99 166.66666666666669
a59 b19 166.66666666666669
a59 b27 166.66666666666669
a59 b31 166.66666666666669
a59 b32 150
a59 b36 150
a59 b39 166.66666666666669
a59 b41 150
a59 b42 150
a59 b45 166.66666666666669
a59 b46 166.66666666666669
a59 b47 175.0
a59 b48 175.0
a59 b54 166.66666666666669
a59 b55 166.66666666666669
a59 b56 175.0
a59 b58 175.0
a59 b60 150
a59 b61 166.66666666666669
a59 b62 166.66666666666669
a59 b66 150
a59 b70 175.0
a59 b75 166.66666666666669
a59 b78 150
a59 b80 150
a59 b81 175.0
a59 b82 166.66666666666669
a59 b83 175.0
a59 b85 150
a59 b94 150
a59 b95 150
a59 b96 150
a59 b99 150
a60 b4 158.33333333333331
a60 b13 158.33333333333331
a60 b16 160.0
a60 b20 150
a60 b23 158.33333333333331
a60 b24 150
a60 b25 150
a60 b26 158.33333333333331
a60 b28 160.0
a60 b30 150
a60 b33 160.0
a60 b34 150
a60 b35 150
a60 b37 160.0
a60 b40 160.0
a60 b43 160.0
a60 b44 160.0
a60 b50 150
a60 b51 160.0
a60 b53 160.0
a60 b57 150
a60 b59 160.0
a60 b64 150
a60 b65 150
a60 b67 150
a60 b69 150
a60 b71 160.0
a60 b72 150
a60 b73 160.0
a60 b74 160.0
a60 b76 150
a60 b77 160.0
a60 b84 150
a60 b86 160.0
a60 b87 158.33333333333331
a60 b88 160.0
a60 b90 160.0
a60 b92 150
a60 b93 160.0
a60 b97 150
a60 b98 150
a61 b0 157.14285714285714
a61 b2 157.14285714285714
a61 b4 150
a61 b8 157.14285714285714
a61 b11 157.14285714285714
a61 b13 150
a61 b18 157.14285714285714
a61 b20 158.33333333333331
a61 b22 157.14285714285714
a61 b23 150
a61 b24 158.33333333333331
a61 b25 158.33333333333331
a61 b26 150
a61 b30 158.33333333333331
a61 b34 158.33333333333331
a61 b35 158.33333333333331
a61 b50 158.33333333333331
a61 b57 158.33333333333331
a61 b64 158.33333333333331
a61 b65 158.33333333333331
a61 b67 158.33333333333331
a61 b69 158.33333333333331
a61 b72 158.33333333333331
a61 b76 158.33333333333331
a61 b84 158.33333333333331
a61 b87 150
a61 b92 158.33333333333331
a61 b97 158.33333333333331
a61 b98 158.33333333333331
a62 b16 162.5
a62 b19 150
a62 b27 150
a62 b28 162.5
a62 b31 150
a62 b32 166.66666666666669
a62 b33 162.5
a62 b36 166.66666666666669
a62 b37 162.5
a62 b39 150
a62 b40 162.5
a62 b41 166.66666666666669
a62 b42 166.66666666666669
a62 b43 162.5
a62 b44 162.5
a62 b45 150
a62 b46 150
a62 b51 162.5
a62 b53 162.5
a62 b54 150
a62 b55 150
a62 b59 162.5
a62 b60 166.66666666666669
a62 b61 150
a62 b62 150
a62 b66 166.66666666666669
a62 b71 162.5
a62 b73 162.5
a62 b74 162.5
a62 b75 150
a62 b77 162.5
a62 b78 166.66666666666669
a62 b80 166.66666666666669
a62 b82 150
a62 b85 166.66666666666669
a62 b86 162.5
a62 b88 162.5
a62 b90 162.5
a62 b93 162.5
a62 b94 166.66666666666669
a62 b95 166.66666666666669
a62 b96 166.66666666666669
a62 b99 166.66666666666669
a63 b0 157.14285714285714
a63 b2 157.14285714285714
a63 b4 150
a63 b8 157.14285714285714
a63 b11 157.14285714285714
a63 b13 150
a63 b18 157.14285714285714
a63 b20 158.33333333333331
a63 b22 157.14285714285714
a63 b23 150
a63 b24 158.33333333333331
a63 b25 158.33333333333331
a63 b26 150
a63 b30 158.33333333333331
a63 b34 158.33333333333331
a63 b35 158.33333333333331
a63 b50 158.33333333333331
a63 b57 158.33333333333331
a63 b64 158.33333333333331
a63 b65 158.33333333333331
a63 b67 158.33333333333331
a63 b69 158.33333333333331
a63 b72 158.33333333333331
a63 b76 158.33333333333331
a63 b84 158.33333333333331
a63 b87 150
a63 b92 158.33333333333331
a63 b97 158.33333333333331
a63 b98 158.33333333333331
a64 b4 158.33333333333331
a64 b13 158.33333333333331
a64 b16 160.0
a64 b20 150
a64 b23 158.33333333333331
a64 b24 150
a64 b25 150
a64 b26 158.33333333333331
a64 b28 160.0
a64 b30 150
a64 b33 160.0
a64 b34 150
a64 b35 150
a64 b37 160.0
a64 b40 160.0
a64 b43 160.0
a64 b44 160.0
a64 b50 150
a64 b51 160.0
a64 b53 160.0
a64 b57 150
a64 b59 160.0
a64 b64 150
a64 b65 150
a64 b67 150
a64 b69 150
a64 b71 160.0
a64 b72 150
a64 b73 160.0
a64 b74 160.0
a64 b76 150
a64 b77 160.0
a64 b84 150
a64 b86 160.0
a64 b87 158.33333333333331
a64 b88 160.0
a64 b90 160.0
a64 b92 150
a64 b93 160.0
a64 b97 150
a64 b98 150
a65 b19 166.66666666666669
a65 b27 166.66666666666669
a65 b31 166.66666666666669
a65 b32 150
a65 b36 150
a65 b39 166.66666666666669
a65 b41 150
a65 b42 150
a65 b45 166.66666666666669
a65 b46 166.66666666666669
a65 b47 175.0
a65 b48 175.0
a65 b54 166.66666666666669
a65 b55 166.66666666666669
a65 b56 175.0
a65 b58 175.0
a65 b60 150
a65 b61 166.66666666666669
a65 b62 166.66666666666669
a65 b66 150
a65 b70 175.0
a65 b75 166.66666666666669
a65 b78 150
a65 b80 150
a65 b81 175.0
a65 b82 166.66666666666669
a65 b83 175.0
a65 b85 150
a65 b94 150
a65 b95 150
a65 b96 150
a65 b99 150
a66 b16 162.5
a66 b19 150
a66 b27 150
a66 b28 162.5
a66 b31 150
a66 b32 166.66666666666669
a66 b33 162.5
a66 b36 166.66666666666669
a66 b37 162.5
a66 b39 150
a66 b40 162.5
a66 b41 166.66666666666669
a66 b42 166.66666666666669
a66 b43 162.5
a66 b44 162.5
a66 b45 150
a66 b46 150
a66 b51 162.5
a66 b53 162.5
a66 b54 150
a66 b55 150
a66 b59 162.5
a66 b60 166.66666666666669
a66 b61 150
a66 b62 150
a66 b66 166.66666666666669
a66 b71 162.5
a66 b73 162.5
a66 b74 162.5
a66 b75 150
a66 b77 162.5
a66 b78 166.66666666666669
a66 b80 166.66666666666669
a66 b82 150
a66 b85 166.66666666666669
a66 b86 162.5
a66 b88 162.5
a66 b90 162.5
a66 b93 162.5
a66 b94 166.66666666666669
a66 b95 166.66666666666669
a66 b96 166.66666666666669
a66 b99 166.66666666666669
a67 b16 150
a67 b19 162.5
a67 b20 160.0
a67 b24 160.0
a67 b25 160.0
a67 b27 162.5
a67 b28 150
a67 b30 160.0
a67 b31 162.5
a67 b33 150
a67 b34 160.0
a67 b35 160.0
a67 b37 150
a67 b39 162.5
a67 b40 150
a67 b43 150
a67 b44 150
a67 b45 162.5
a67 b46 162.5
a67 b50 160.0
a67 b51 150
a67 b53 150
a67 b54 162.5
a67 b55 162.5
a67 b57 160.0
a67 b59 150
a67 b61 162.5
a67 b62 162.5
a67 b64 160.0
a67 b65 160.0
a67 b67 160.0
a67 b69 160.0
a67 b71 150
a67 b72 160.0
a67 b73 150
a67 b74 150
a67 b75 162.5
a67 b76 160.0
a67 b77 150
a67 b82 162.5
a67 b84 160.0
a67 b86 150
a67 b88 150
a67 b90 150
a67 b92 160.0
a67 b93 150
a67 b97 160.0
a67 b98 160.0
a68 b4 158.33333333333331
a68 b13 158.33333333333331
a68 b16 160.0
a68 b20 150
a68 b23 158.33333333333331
a68 b24 150
a68 b25 150
a68 b26 158.33333333333331
a68 b28 160.0
a68 b30 150
a68 b33 160.0
a68 b34 150
a68 b35 150
a68 b37 160.0
a68 b40 160.0
a68 b43 160.0
a68 b44 160.0
a68 b50 150
a68 b51 160.0
a68 b53 160.0
a68 b57 150
a68 b59 160.0
a68 b64 150
a68 b65 150
a68 b67 150
a68 b69 150
a68 b71 160.0
a68 b72 150
a68 b73 160.0
a68 b74 160.0
a68 b76 150
a68 b77 160.0
a68 b84 150
a68 b86 160.0
a68 b87 158.33333333333331
a68 b88 160.0
a68 b90 160.0
a68 b92 150
a68 b93 160.0
a68 b97 150
a68 b98 150
a69 b16 150
a69 b19 162.5
a69 b20 160.0
a69 b24 160.0
a69 b25 160.0
a69 b27 162.5
a69 b28 150
a69 b30 160.0
a69 b31 162.5
a69 b33 150
a69 b34 160.0
a69 b35 160.0
a69 b37 150
a69 b39 162.5
a69 b40 150
a69 b43 150
a69 b44 150
a69 b45 162.5
a69 b46 162.5
a69 b50 160.0
a69 b51 150
a69 b53 150
a69 b54 162.5
a69 b55 162.5
a69 b57 160.0
a69 b59 150
a69 b61 162.5
a69 b62 162.5
a69 b64 160.0
a69 b65 160.0
a69 b67 160.0
a69 b69 160.0
a69 b71 150
a69 b72 160.0
a69 b73 150
a69 b74 150
a69 b75 162.5
a69 b76 160.0
a69 b77 150
a69 b82 162.5
a69 b84 160.0
a69 b86 150
a69 b88 150
a69 b90 150
a69 b92 160.0
a69 b93 150
a69 b97 160.0
a69 b98 160.0
a70 b16 162.5
a70 b19 150
a70 b27 150
a70 b28 162.5
a70 b31 150
a70 b32 166.66666666666669
a70 b33 162.5
a70 b36 166.66666666666669
a70 b37 162.5
a70 b39 150
a70 b40 162.5
a70 b41 166.66666666666669
a70 b42 166.66666666666669
a70 b43 162.5
a70 b44 162.5
a70 b45 150
a70 b46 150
a70 b51 162.5
a70 b53 162.5
a70 b54 150
a70 b55 150
a70 b59 162.5
a70 b60 166.66666666666669
a70 b61 150
a70 b62 150
a70 b66 166.66666666666669
a70 b71 162.5
a70 b73 162.5
a70 b74 162.5
a70 b75 150
a70 b77 162.5
a70 b78 166.66666666666669
a70 b80 166.66666666666669
a70 b82 150
a70 b85 166.66666666666669
a70 b86 162.5
a70 b88 162.5
a70 b90 162.5
a70 b93 162.5
a70 b94 166.66666666666669
a70 b95 166.66666666666669
a70 b96 166.66666666666669
a70 b99 166.66666666666669
a71 b16 162.5
a71 b19 150
a71 b27 150
a71 b28 162.5
a71 b31 150
a71 b32 166.66666666666669
a71 b33 162.5
a71 b36 166.66666666666669
a71 b37 162.5
a71 b39 150
a71 b40 162.5
a71 b41 166.66666666666669
a71 b42 166.66666666666669
a71 b43 162.5
a71 b44 162.5
a71 b45 150
a71 b46 150
a71 b51 162.5
a71 b53 162.5
a71 b54 150
a71 b55 150
a71 b59 162.5
a71 b60 166.66666666666669
a71 b61 150
a71 b62 150
a71 b66 166.66666666666669
a71 b71 162.5
a71 b73 162.5
a71 b74 162.5
a71 b75 150
a71 b77 162.5
a71 b78 166.66666666666669
a71 b80 166.66666666666669
a71 b82 150
a71 b85 166.66666666666669
a71 b86 162.5
a71 b88 162.5
a71 b90 162.5
a71 b93 162.5
a71 b94 166.66666666666669
a71 b95 166.66666666666669
a71 b96 166.66666666666669
a71 b99 166.66666666666669
a72 b19 166.66666666666669
a72 b27 166.66666666666669
a72 b31 166.66666666666669
a72 b32 150
a72 b36 150
a72 b39 166.66666666666669
a72 b41 150
a72 b42 150
a72 b45 166.66666666666669
a72 b46 166.66666666666669
a72 b47 175.0
a72 b48 175.0
a72 b54 166.66666666666669
a72 b55 166.66666666666669
a72 b56 175.0
a72 b58 175.0
a72 b60 150
a72 b61 166.66666666666669
a72 b62 166.66666666666669
a72 b66 150
a72 b70 175.0
a72 b75 166.66666666666669
a72 b78 150
a72 b80 150
a72 b81 175.0
a72 b82 166.66666666666669
a72 b83 175.0
a72 b85 150
a72 b94 150
a72 b95 150
a72 b96 150
a72 b99 150
a73 b16 162.5
a73 b19 150
a73 b27 150
a73 b28 162.5
a73 b31 150
a73 b32 166.66666666666669
a73 b33 162.5
a73 b36 166.66666666666669
a73 b37 162.5
a73 b39 150
a73 b40 162.5
a73 b41 166.66666666666669
a73 b42 166.66666666666669
a73 b43 162.5
a73 b44 162.5
a73 b45 150
a73 b46 150
a73 b51 162.5
a73 b53 162.5
a73 b54 150
a73 b55 150
a73 b59 162.5
a73 b60 166.66666666666669
a73 b61 150
a73 b62 150
a73 b66 166.66666666666669
a73 b71 162.5
a73 b73 162.5
a73 b74 162.5
a73 b75 150
a73 b77 162.5
a73 b78 166.66666666666669
a73 b80 166.66666666666669
a73 b82 150
a73 b85 166.66666666666669
a73 b86 162.5
a73 b88 162.5
a73 b90 162.5
a73 b93 162.5
a73 b94 166.66666666666669
a73 b95 166.66666666666669
a73 b96 166.66666666666669
a73 b99 166.66666666666669
a74 b0 156.25
a74 b2 156.25
a74 b5 155.55555555555554
a74 b6 150
a74 b7 155.55555555555554
a74 b8 156.25
a74 b10 150
a74 b11 156.25
a74 b14 155.55555555555554
a74 b15 155.55555555555554
a74 b17 150
a74 b18 156.25
a74 b21 150
a74 b22 156.25
a74 b52 155.55555555555554
a74 b63 150
a74 b68 150
a74 b79 150
a74 b89 150
a74 b91 150
a75 b0 150
a75 b2 150
a75 b4 157.14285714285714
a75 b6 156.25
a75 b8 150
a75 b10 156.25
a75 b11 150
a75 b13 157.14285714285714
a75 b17 156.25
a75 b18 150
a75 b21 156.25
a75 b22 150
a75 b23 157.14285714285714
a75 b26 157.14285714285714
a75 b63 156.25
a75 b68 156.25
a75 b79 156.25
a75 b87 157.14285714285714
a75 b89 156.25
a75 b91 156.25
a76 b16 150
a76 b19 162.5
a76 b20 160.0
a76 b24 160.0
a76 b25 160.0
a76 b27 162.5
a76 b28 150
a76 b30 160.0
a76 b31 162.5
a76 b33 150
a76 b34 160.0
a76 b35 160.0
a76 b37 150
a76 b39 162.5
a76 b40 150
a76 b43 150
a76 b44 150
a76 b45 162.5
a76 b46 162.5
a76 b50 160.0
a76 b51 150
a76 b53 150
a76 b54 162.5
a76 b55 162.5
a76 b57 160.0
a76 b59 150
a76 b61 162.5
a76 b62 162.5
a76 b64 160.0
a76 b65 160.0
a76 b67 160.0
a76 b69 160.0
a76 b71 150
a76 b72 160.0
a76 b73 150
a76 b74 150
a76 b75 162.5
a76 b76 160.0
a76 b77 150
a76 b82 162.5
a76 b84 160.0
a76 b86 150
a76 b88 150
a76 b90 150
a76 b92 160.0
a76 b93 150
a76 b97 160.0
a76 b98 160.0
a77 b16 162.5
a77 b19 150
a77 b27 150
a77 b28 162.5
a77 b31 150
a77 b32 166.66666666666669
a77 b33 162.5
a77 b36 166.66666666666669
a77 b37 162.5
a77 b39 150
a77 b40 162.5
a77 b41 166.66666666666669
a77 b42 166.66666666666669
a77 b43 162.5
a77 b44 162.5
a77 b45 150
a77 b46 150
a77 b51 162.5
a77 b53 162.5
a77 b54 150
a77 b55 150
a77 b59 162.5
a77 b60 166.66666666666669
a77 b61 150
a77 b62 150
a77 b66 166.66666666666669
a77 b71 162.5
a77 b73 162.5
a77 b74 162.5
a77 b75 150
a77 b77 162.5
a77 b78 166.66666666666669
a77 b80 166.66666666666669
a77 b82 150
a77 b85 166.66666666666669
a77 b86 162.5
a77 b88 162.5
a77 b90 162.5
a77 b93 162.5
a77 b94 166.66666666666669
a77 b95 166.66666666666669
a77 b96 166.66666666666669
a77 b99 166.66666666666669
a78 b4 158.33333333333331
a78 b13 158.33333333333331
a78 b16 160.0
a78 b20 150
a78 b23 158.33333333333331
a78 b24 150
a78 b25 150
a78 b26 158.33333333333331
a78 b28 160.0
a78 b30 150
a78 b33 160.0
a78 b34 150
a78 b35 150
a78 b37 160.0
a78 b40 160.0
a78 b43 160.0
a78 b44 160.0
a78 b50 150
a78 b51 160.0
a78 b53 160.0
a78 b57 150
a78 b59 160.0
a78 b64 150
a78 b65 150
a78 b67 150
a78 b69 150
a78 b71 160.0
a78 b72 150
a78 b73 160.0
a78 b74 160.0
a78 b76 150
a78 b77 160.0
a78 b84 150
a78 b86 160.0
a78 b87 158.33333333333331
a78 b88 160.0
a78 b90 160.0
a78 b92 150
a78 b93 160.0
a78 b97 150
a78 b98 150
a79 b4 158.33333333333331
a79 b13 158.33333333333331
a79 b16 160.0
a79 b20 150
a79 b23 158.33333333333331
a79 b24 150
a79 b25 150
a79 b26 158.33333333333331
a79 b28 160.0
a79 b30 150
a79 b33 160.0
a79 b34 150
a79 b35 150
a79 b37 160.0
a79 b40 160.0
a79 b43 160.0
a79 b44 160.0
a79 b50 150
a79 b51 160.0
a79 b53 160.0
a79 b57 150
a79 b59 160.0
a79 b64 150
a79 b65 150
a79 b67 150
a79 b69 150
a79 b71 160.0
a79 b72 150
a79 b73 160.0
a79 b74 160.0
a79 b76 150
a79 b77 160.0
a79 b84 150
a79 b86 160.0
a79 b87 158.33333333333331
a79 b88 160.0
a79 b90 160.0
a79 b92 150
a79 b93 160.0
a79 b97 150
a79 b98 150
a80 b0 150
a80 b2 150
a80 b4 157.14285714285714
a80 b6 156.25
a80 b8 150
a80 b10 156.25
a80 b11 150
a80 b13 157.14285714285714
a80 b17 156.25
a80 b18 150
a80 b21 156.25
a80 b22 150
a80 b23 157.14285714285714
a80 b26 157.14285714285714
a80 b63 156.25
a80 b68 156.25
a80 b79 156.25
a80 b87 157.14285714285714
a80 b89 156.25
a80 b91 156.25
a81 b16 150
a81 b19 162.5
a81 b20 160.0
a81 b24 160.0
a81 b25 160.0
a81 b27 162.5
a81 b28 150
a81 b30 160.0
a81 b31 162.5
a81 b33 150
a81 b34 160.0
a81 b35 160.0
a81 b37 150
a81 b39 162.5
a81 b40 150
a81 b43 150
a81 b44 150
a81 b45 162.5
a81 b46 162.5
a81 b50 160.0
a81 b51 150
a81 b53 150
a81 b54 162.5
a81 b55 162.5
a81 b57 160.0
a81 b59 150
a81 b61 162.5
a81 b62 162.5
a81 b64 160.0
a81 b65 160.0
a81 b67 160.0
a81 b69 160.0
a81 b71 150
a81 b72 160.0
a81 b73 150
a81 b74 150
a81 b75 162.5
a81 b76 160.0
a81 b77 150
a81 b82 162.5
a81 b84 160.0
a81 b86 150
a81 b88 150
a81 b90 150
a81 b92 160.0
a81 b93 150
a81 b97 160.0
a81 b98 160.0
a82 b19 166.66666666666669
a82 b27 166.66666666666669
a82 b31 166.66666666666669
a82 b32 150
a82 b36 150
a82 b39 166.66666666666669
a82 b41 150
a82 b42 150
a82 b45 166.66666666666669
a82 b46 166.66666666666669
a82 b47 175.0
a82 b48 175.0
a82 b54 166.66666666666669
a82 b55 166.66666666666669
a82 b56 175.0
a82 b58 175.0
a82 b60 150
a82 b61 166.66666666666669
a82 b62 166.66666666666669
a82 b66 150
a82 b70 175.0
a82 b75 166.66666666666669
a82 b78 150
a82 b80 150
a82 b81 175.0
a82 b82 166.66666666666669
a82 b83 175.0
a82 b85 150
a82 b94 150
a82 b95 150
a82 b96 150
a82 b99 150
a83 b0 150
a83 b2 150
a83 b4 157.14285714285714
a83 b6 156.25
a83 b8 150
a83 b10 156.25
a83 b11 150
a83 b13 157.14285714285714
a83 b17 156.25
a83 b18 150
a83 b21 156.25
a83 b22 150
a83 b23 157.14285714285714
a83 b26 157.14285714285714
a83 b63 156.25
a83 b68 156.25
a83 b79 156.25
a83 b87 157.14285714285714
a83 b89 156.25
a83 b91 156.25
a84 b0 157.14285714285714
a84 b2 157.14285714285714
a84 b4 150
a84 b8 157.14285714285714
a84 b11 157.14285714285714
a84 b13 150
a84 b18 157.14285714285714
a84 b20 158.33333333333331
a84 b22 157.14285714285714
a84 b23 150
a84 b24 158.33333333333331
a84 b25 158.33333333333331
a84 b26 150
a84 b30 158.33333333333331
a84 b34 158.33333333333331
a84 b35 158.33333333333331
a84 b50 158.33333333333331
a84 b57 158.33333333333331
a84 b64 158.33333333333331
a84 b65 158.33333333333331
a84 b67 158.33333333333331
a84 b69 158.33333333333331
a84 b72 158.33333333333331
a84 b76 158.33333333333331
a84 b84 158.33333333333331
a84 b87 150
a84 b92 158.33333333333331
a84 b97 158.33333333333331
a84 b98 158.33333333333331
a85 b16 162.5
a85 b19 150
a85 b27 150
a85 b28 162.5
a85 b31 150
a85 b32 166.66666666666669
a85 b33 162.5
a85 b36 166.66666666666669
a85 b37 162.5
a85 b39 150
a85 b40 162.5
a85 b41 166.66666666666669
a85 b42 166.66666666666669
a85 b43 162.5
a85 b44 162.5
a85 b45 150
a85 b46 150
a85 b51 162.5
a85 b53 162.5
a85 b54 150
a85 b55 150
a85 b59 162.5
a85 b60 166.66666666666669
a85 b61 150
a85 b62 150
a85 b66 166.66666666666669
a85 b71 162.5
a85 b73 162.5
a85 b74 162.5
a85 b75 150
a85 b77 162.5
a85 b78 166.66666666666669
a85 b80 166.66666666666669
a85 b82 150
a85 b85 166.66666666666669
a85 b86 162.5
a85 b88 162.5
a85 b90 162.5
a85 b93 162.5
a85 b94 166.66666666666669
a85 b95 166.66666666666669
a85 b96 166.66666666666669
a85 b99 166.66666666666669
a86 b4 158.33333333333331
a86 b13 158.33333333333331
a86 b16 160.0
a86 b20 150
a86 b23 158.33333333333331
a86 b24 150
a86 b25 150
a86 b26 158.33333333333331
a86 b28 160.0
a86 b30 150
a86 b33 160.0
a86 b34 150
a86 b35 150
a86 b37 160.0
a86 b40 160.0
a86 b43 160.0
a86 b44 160.0
a86 b50 150
a86 b51 160.0
a86 b53 160.0
a86 b57 150
a86 b59 160.0
a86 b64 150
a86 b65 150
a86 b67 150
a86 b69 150
a86 b71 160.0
a86 b72 150
a86 b73 160.0
a86 b74 160.0
a86 b76 150
a86 b77 160.0
a86 b84 150
a86 b86 160.0
a86 b87 158.33333333333331
a86 b88 160.0
a86 b90 160.0
a86 b92 150
a86 b93 160.0
a86 b97 150
a86 b98 150
a87 b16 162.5
a87 b19 150
a87 b27 150
a87 b28 162.5
a87 b31 150
a87 b32 166.66666666666669
a87 b33 162.5
a87 b36 166.66666666666669
a87 b37 162.5
a87 b39 150
a87 b40 162.5
a87 b41 166.66666666666669
a87 b42 166.66666666666669
a87 b43 162.5
a87 b44 162.5
a87 b45 150
a87 b46 150
a87 b51 162.5
a87 b53 162.5
a87 b54 150
a87 b55 150
a87 b59 162.5
a87 b60 166.66666666666669
a87 b61 150
a87 b62 150
a87 b66 166.66666666666669
a87 b71 162.5
a87 b73 162.5
a87 b74 162.5
a87 b75 150
a87 b77 162.5
a87 b78 166.66666666666669
a87 b80 166.66666666666669
a87 b82 150
a87 b85 166.66666666666669
a87 b86 162.5
a87 b88 162.5
a87 b90 162.5
a87 b93 162.5
a87 b94 166.66666666666669
a87 b95 166.66666666666669
a87 b96 166.66666666666669
a87 b99 166.66666666666669
a88 b16 162.5
a88 b19 150
a88 b27 150
a88 b28 162.5
a88 b31 150
a88 b32 166.66666666666669
a88 b33 162.5
a88 b36 166.66666666666669
a88 b37 162.5
a88 b39 150
a88 b40 162.5
a88 b41 166.66666666666669
a88 b42 166.66666666666669
a88 b43 162.5
a88 b44 162.5
a88 b45 150
a88 b46 150
a88 b51 162.5
a88 b53 162.5
a88 b54 150
a88 b55 150
